local code,text,table_name,parent_varname,local code system,code,display,code system,comment
ATACseq,ATACseq,specimen,Sample Type,Sample Type,,,,
B cells Cryo,B cells Cryo,specimen,Sample Type,Sample Type,,,,
Blood Smear Slide,Blood Smear Slide,specimen,Sample Type,Sample Type,,,,
CYTOF Ready White Blood Cells,CYTOF Ready White Blood Cells,specimen,Sample Type,Sample Type,,,,
PAXgene Whole Blood DNA,PAXgene Whole Blood DNA,specimen,Sample Type,Sample Type,,,,
PAXgene Whole Blood DNA Tube,PAXgene Whole Blood DNA Tube,specimen,Sample Type,Sample Type,,,,
PAXgene Whole Blood RNA,PAXgene Whole Blood RNA,specimen,Sample Type,Sample Type,,,,
PAXgene Whole Blood RNA Tube,PAXgene Whole Blood RNA Tube,specimen,Sample Type,Sample Type,,,,
Peripheral Blood Mononuclear Cells,Peripheral Blood Mononuclear Cells,specimen,Sample Type,Sample Type,,,,
Salivette,Salivette,specimen,Sample Type,Sample Type,,,,
Skin Tape,Skin Tape,specimen,Sample Type,Sample Type,,,,
Tongue Swab,Tongue Swab,specimen,Sample Type,Sample Type,,,,
White Blood Cells,White Blood Cells,specimen,Sample Type,Sample Type,,,,
White Blood Cells Cryo,White Blood Cells Cryo,specimen,Sample Type,Sample Type,,,,
White Blood Cells DNA,White Blood Cells DNA,specimen,Sample Type,Sample Type,,,,
White Blood Cells Protein,White Blood Cells Protein,specimen,Sample Type,Sample Type,,,,
White Blood Cells RNA,White Blood Cells RNA,specimen,Sample Type,Sample Type,,,,
Whole Blood EDTA,Whole Blood EDTA,specimen,Sample Type,Sample Type,,,,
Available,Available,specimen,Sample Availability,Sample Availability,,,,
Unavailable,Unavailable,specimen,Sample Availability,Sample Availability,,,,
Saliva,Saliva,specimen,Collection Sample Type,Collection Sample Type,,,,
Skin Tape,Skin Tape,specimen,Collection Sample Type,Collection Sample Type,,,,
Tongue Swab,Tongue Swab,specimen,Collection Sample Type,Collection Sample Type,,,,
Whole Blood,Whole Blood,specimen,Collection Sample Type,Collection Sample Type,,,,
Available,Available,specimen,Container Availability,Container Availability,,,,
Unavailable,Unavailable,specimen,Container Availability,Container Availability,,,,
Monocytes,Monocytes,specimen,Parent Sample Type,Parent Sample Type,,,,
NA,NA,specimen,Parent Sample Type,Parent Sample Type,,,,
PAXgene Whole Blood DNA Tube,PAXgene Whole Blood DNA Tube,specimen,Parent Sample Type,Parent Sample Type,,,,
PAXgene Whole Blood RNA Tube,PAXgene Whole Blood RNA Tube,specimen,Parent Sample Type,Parent Sample Type,,,,
Saliva,Saliva,specimen,Parent Sample Type,Parent Sample Type,,,,
White Blood Cells,White Blood Cells,specimen,Parent Sample Type,Parent Sample Type,,,,
Whole Blood,Whole Blood,specimen,Parent Sample Type,Parent Sample Type,,,,
Whole Blood EDTA,Whole Blood EDTA,specimen,Parent Sample Type,Parent Sample Type,,,,
NA,NA,specimen,Laboratory Procedure,Laboratory Procedure,,,,
-80C Freezer,-80C Freezer,specimen,Biospecimen Storage,Biospecimen Storage,,,,
Liquid Nitrogen Storage,Liquid Nitrogen Storage,specimen,Biospecimen Storage,Biospecimen Storage,,,,
Other,Other,specimen,Biospecimen Storage,Biospecimen Storage,,,,
Cells/mL,Cells/mL,specimen,Concentration_Unit,Concentration_Unit,,,,
NA,NA,specimen,Concentration_Unit,Concentration_Unit,,,,
