local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Clinical,Clinical,condition,Condition Data Source,Condition Data Source,,,,
Self-reported,Self-reported,condition,Condition Data Source,Condition Data Source,,,,
Proband,Proband,participant,Family Relationship,Family Relationship,,,,
Unrelated control,Unrelated control,participant,Family Relationship,Family Relationship,,,,
D21,Disomy 21 (euploid),participant,Down Syndrome Status,Down Syndrome Status,,,,
NA,NA,specimen,Parent Sample Type,Parent Sample Type,,,,
NA,NA,specimen,Laboratory Procedure,Laboratory Procedure,,,,
-80C Freezer,-80C Freezer,specimen,Biospecimen Storage,Biospecimen Storage,,,,
Liquid Nitrogen Storage,Liquid Nitrogen Storage,specimen,Biospecimen Storage,Biospecimen Storage,,,,
Other,Other,specimen,Biospecimen Storage,Biospecimen Storage,,,,
Cells/mL,Cells/mL,specimen,Concentration_Unit,Concentration_Unit,,,,
NA,NA,specimen,Concentration_Unit,Concentration_Unit,,,,
each,each,specimen,Volume Unit,Volume Unit,,,,
NA,NA,specimen,Volume Unit,Volume Unit,,,,
uL,uL,specimen,Volume Unit,Volume Unit,,,,
bai,bai,datafile,File Format,File Format,,,,
bam,bam,datafile,File Format,File Format,,,,
crai,crai,datafile,File Format,File Format,,,,
cram,cram,datafile,File Format,File Format,,,,
fastq,fastq,datafile,File Format,File Format,,,,
gvcf,gvcf,datafile,File Format,File Format,,,,
html,html,datafile,File Format,File Format,,,,
pdf,pdf,datafile,File Format,File Format,,,,
tbi,tbi,datafile,File Format,File Format,,,,
tsv,tsv,datafile,File Format,File Format,,,,
txt,txt,datafile,File Format,File Format,,,,
vcf,vcf,datafile,File Format,File Format,,,,
