local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Behavior and Behavior Mechanisms,Behavior and Behavior Mechanisms,study,research_domain,Research Domain,D001520,Behavior and Behavior Mechanisms,urn:oid:2.16.840.1.113883.6.177,
Congenital Heart Defects,Congenital Heart Defects,study,research_domain,Research Domain,D006330,Congenital Heart Defects,urn:oid:2.16.840.1.113883.6.177,
Immune System Diseases,Immune System Diseases,study,research_domain,Research Domain,D007154,Immune System Diseases,urn:oid:2.16.840.1.113883.6.177,
Hematologic Diseases,Hematologic Diseases,study,research_domain,Research Domain,D006402,Hematologic Diseases,urn:oid:2.16.840.1.113883.6.177,
Sleep Wake Disorders,Sleep Wake Disorders,study,research_domain,Research Domain,D012893,Sleep Wake Disorders,urn:oid:2.16.840.1.113883.6.177,
All Co-occurring Conditions,All Co-occurring Conditions,study,research_domain,Research Domain,D013568,All Co-occurring Conditions,urn:oid:2.16.840.1.113883.6.177,
Fetal,Fetal,study,participant_lifespan_stage,Participant Lifespan Stage,fetal,Fetal,https://includedcc.org/fhir/code-systems/participant_lifespan_age,
Neonatal,Neonatal,study,participant_lifespan_stage,Participant Lifespan Stage,neonatal,Neonatal,https://includedcc.org/fhir/code-systems/participant_lifespan_age,
Pediatric,Pediatric,study,participant_lifespan_stage,Participant Lifespan Stage,pediatric,Pediatric,https://includedcc.org/fhir/code-systems/participant_lifespan_age,
Adult,Adult,study,participant_lifespan_stage,Participant Lifespan Stage,adult,Adult,https://includedcc.org/fhir/code-systems/participant_lifespan_age,
Medical Record,Medical Record,study,clinical_data_source_type,Clinical Data Source Type,medical-record,Medical Record,https://includedcc.org/fhir/code-systems/clinical_data_source_types,
Investigator Assessment,Investigator Assessment,study,clinical_data_source_type,Clinical Data Source Type,investigator-assessment,Investigator Assessment,https://includedcc.org/fhir/code-systems/clinical_data_source_types,
Participant or Caregiver Report,Participant or Caregiver Report,study,clinical_data_source_type,Clinical Data Source Type,participant-or-caregiver-report,Participant or Caregiver Report,https://includedcc.org/fhir/code-systems/clinical_data_source_types,
