local code,text,table_name,parent_varname,local code system,code,display,code system,comment
Father,Father,Participant,Family Relationship,Inverse Family Relationship,CHILD,child,http://terminology.hl7.org/CodeSystem/v3-RoleCode,
Mother,Mother,Participant,Family Relationship,Inverse Family Relationship,CHILD,child,http://terminology.hl7.org/CodeSystem/v3-RoleCode,
Sibling,Sibling,Participant,Family Relationship,Inverse Family Relationship,SIB,sibling,http://terminology.hl7.org/CodeSystem/v3-RoleCode,
Other relative,Other relative,Participant,Family Relationship,Inverse Family Relationship,O,Other,http://terminology.hl7.org/CodeSystem/v2-0131,
kg,Kilograms,,,units,kg,Kilograms,http://unitsofmeasure.org,
cm,cm,,,units,cm,cm,http://unitsofmeasure.org,
kg/m2,kg/m2,,,units,kg/m2,kg/m2,http://unitsofmeasure.org,
Weight,Kilograms,,,units,kg,Kilograms,http://unitsofmeasure.org,
Height,cm,,,units,cm,cm,http://unitsofmeasure.org,
BMI,kg/m2,,,units,kg/m2,kg/m2,http://unitsofmeasure.org,
ml,ml,,,units,ml,ml,http://unitsofmeasure.org,
ml,ml,,,Vial_Volume,ml,ml,http://unitsofmeasure.org,
permL,/mL,,,units,/mL,/mL,http://unitsofmeasure.org,
Weight,Body Weight,encounter,,encounter,29463-7,Body weight,http://loinc.org,
Height,Body Height,encounter,,encounter,8303-3,Body height,http://loinc.org,
BMI,Body Mass Index,encounter,,encounter,39156-5,Body mass index (BMI) [Ratio],http://loinc.org,
